Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
White,Staten Island,2005,2368,1855,78.30%,1521,64.20%,82%,715,30.20%,38.50%,806,34%,43.50%,334,14.10%,18%,277,11.70%,139,5.90%
White,Staten Island,2006,2461,1961,79.70%,1678,68.20%,85.60%,746,30.30%,38%,932,37.90%,47.50%,283,11.50%,14.40%,268,10.90%,174,7.10%
White,Staten Island,Aug-06,2461,1998,81.20%,1697,69%,84.90%,748,30.40%,37.40%,949,38.60%,47.50%,301,12.20%,15.10%,232,9.40%,173,7%
Female,Bronx,2001,5532,2711,49%,1409,25.50%,52%,519,9.40%,19.10%,890,16.10%,32.80%,1305,23.60%,48.10%,1547,28%,1052,19%
Female,Bronx,2002,5835,2921,50.10%,1652,28.30%,56.60%,474,8.10%,16.20%,1178,20.20%,40.30%,1273,21.80%,43.60%,1832,31.40%,880,15.10%
Female,Bronx,2003,6688,3498,52.30%,2081,31.10%,59.50%,649,9.70%,18.60%,1432,21.40%,40.90%,1417,21.20%,40.50%,1969,29.40%,1015,15.20%
Female,Bronx,2004,7085,4091,57.70%,2552,36%,62.40%,731,10.30%,17.90%,1821,25.70%,44.50%,1539,21.70%,37.60%,1853,26.20%,980,13.80%
Female,Bronx,2005,7288,4432,60.80%,3010,41.30%,67.90%,809,11.10%,18.30%,2201,30.20%,49.70%,1422,19.50%,32.10%,1652,22.70%,879,12.10%
Female,Bronx,2006,7505,4455,59.40%,3319,44.20%,74.50%,773,10.30%,17.40%,2546,33.90%,57.10%,1136,15.10%,25.50%,1683,22.40%,1070,14.30%
Female,Bronx,Aug-06,7505,4792,63.90%,3475,46.30%,72.50%,781,10.40%,16.30%,2694,35.90%,56.20%,1317,17.50%,27.50%,1364,18.20%,1052,14%
Female,Brooklyn,2001,9849,5538,56.20%,3455,35.10%,62.40%,1568,15.90%,28.30%,1887,19.20%,34.10%,2086,21.20%,37.70%,2656,27%,1446,14.70%
Female,Brooklyn,2002,10253,5723,55.80%,3861,37.70%,67.50%,1534,15%,26.80%,2327,22.70%,40.70%,1867,18.20%,32.60%,2827,27.60%,1388,13.50%
Female,Brooklyn,2003,10481,6147,58.60%,4302,41%,70%,1827,17.40%,29.70%,2475,23.60%,40.30%,1845,17.60%,30%,2808,26.80%,1317,12.60%
Female,Brooklyn,2004,10918,6810,62.40%,4905,44.90%,72%,2044,18.70%,30%,2861,26.20%,42%,1905,17.40%,28%,2731,25%,1177,10.80%
Female,Brooklyn,2005,10942,6867,62.80%,5149,47.10%,75%,1939,17.70%,28.20%,3210,29.30%,46.70%,1718,15.70%,25%,2679,24.50%,1032,9.40%
Female,Brooklyn,2006,10790,7034,65.20%,5618,52.10%,79.90%,2048,19%,29.10%,3570,33.10%,50.80%,1416,13.10%,20.10%,2319,21.50%,1163,10.80%
Female,Brooklyn,Aug-06,10790,7484,69.40%,5825,54%,77.80%,2064,19.10%,27.60%,3761,34.90%,50.30%,1659,15.40%,22.20%,1877,17.40%,1155,10.70%
Female,Manhattan,2001,6720,4434,66%,2995,44.60%,67.50%,1040,15.50%,23.50%,1955,29.10%,44.10%,1440,21.40%,32.50%,1286,19.10%,831,12.40%
Female,Manhattan,2002,7277,4652,63.90%,3265,44.90%,70.20%,990,13.60%,21.30%,2275,31.30%,48.90%,1394,19.20%,30%,1645,22.60%,806,11.10%
Female,Manhattan,2003,7465,4619,61.90%,3318,44.40%,71.80%,1507,20.20%,32.60%,1811,24.30%,39.20%,1301,17.40%,28.20%,1958,26.20%,761,10.20%
Female,Manhattan,2004,8070,5178,64.20%,3743,46.40%,72.30%,1601,19.80%,30.90%,2142,26.50%,41.40%,1435,17.80%,27.70%,2001,24.80%,803,10%
Female,Manhattan,2005,8566,5784,67.50%,4525,52.80%,78.20%,1546,18%,26.70%,2979,34.80%,51.50%,1259,14.70%,21.80%,1819,21.20%,722,8.40%
Female,Manhattan,2006,8907,6214,69.80%,5205,58.40%,83.80%,1593,17.90%,25.60%,3612,40.60%,58.10%,1009,11.30%,16.20%,1708,19.20%,753,8.50%
Female,Manhattan,Aug-06,8907,6479,72.70%,5328,59.80%,82.20%,1596,17.90%,24.60%,3732,41.90%,57.60%,1151,12.90%,17.80%,1449,16.30%,747,8.40%
Female,Queens,2001,8327,5089,61.10%,3600,43.20%,70.70%,1566,18.80%,30.80%,2034,24.40%,40%,1496,18%,29.40%,1991,23.90%,1064,12.80%
Female,Queens,2002,8976,5511,61.40%,4032,44.90%,73.20%,1695,18.90%,30.80%,2337,26%,42.40%,1484,16.50%,26.90%,2091,23.30%,1124,12.50%
Female,Queens,2003,8992,5779,64.30%,4350,48.40%,75.30%,1877,20.90%,32.50%,2473,27.50%,42.80%,1429,15.90%,24.70%,2007,22.30%,1051,11.70%
Female,Queens,2004,9027,5883,65.20%,4565,50.60%,77.60%,1959,21.70%,33.30%,2606,28.90%,44.30%,1318,14.60%,22.40%,2053,22.70%,989,11%
Female,Queens,2005,9252,6338,68.50%,4937,53.40%,77.90%,2000,21.60%,31.60%,2937,31.70%,46.30%,1401,15.10%,22.10%,1682,18.20%,949,10.30%
Female,Queens,2006,9356,6578,70.30%,5411,57.80%,82.30%,2065,22.10%,31.40%,3346,35.80%,50.90%,1167,12.50%,17.70%,1718,18.40%,878,9.40%
Female,Queens,Aug-06,9356,6956,74.30%,5588,59.70%,80.30%,2084,22.30%,30%,3504,37.50%,50.40%,1368,14.60%,19.70%,1343,14.40%,875,9.40%
Female,Staten Island,2001,1805,1307,72.40%,964,53.40%,73.80%,453,25.10%,34.70%,511,28.30%,39.10%,344,19.10%,26.30%,304,16.80%,149,8.30%
Female,Staten Island,2002,2023,1426,70.50%,1092,54%,76.60%,461,22.80%,32.30%,631,31.20%,44.20%,335,16.60%,23.50%,341,16.90%,186,9.20%
Female,Staten Island,2003,2115,1515,71.60%,1164,55%,76.80%,479,22.60%,31.60%,685,32.40%,45.20%,351,16.60%,23.20%,389,18.40%,162,7.70%
Female,Staten Island,2004,2050,1478,72.10%,1185,57.80%,80.20%,568,27.70%,38.40%,617,30.10%,41.70%,293,14.30%,19.80%,363,17.70%,156,7.60%
Female,Staten Island,2005,2216,1633,73.70%,1303,58.80%,79.80%,569,25.70%,34.80%,734,33.10%,44.90%,330,14.90%,20.20%,311,14%,158,7.10%
Female,Staten Island,2006,2190,1665,76%,1389,63.40%,83.40%,619,28.30%,37.20%,770,35.20%,46.20%,276,12.60%,16.60%,289,13.20%,179,8.20%
Female,Staten Island,Aug-06,2190,1698,77.50%,1398,63.80%,82.30%,621,28.40%,36.60%,777,35.50%,45.80%,300,13.70%,17.70%,257,11.70%,178,8.10%
Male,Bronx,2001,5921,2202,37.20%,1235,20.90%,56.10%,479,8.10%,21.80%,756,12.80%,34.30%,966,16.30%,43.90%,1965,33.20%,1386,23.40%
Male,Bronx,2002,6197,2407,38.80%,1466,23.70%,60.90%,518,8.40%,21.50%,948,15.30%,39.40%,944,15.20%,39.20%,2215,35.70%,1260,20.30%
Male,Bronx,2003,6944,2891,41.60%,1780,25.60%,61.60%,606,8.70%,21%,1174,16.90%,40.60%,1111,16%,38.40%,2289,33%,1457,21%
Male,Bronx,2004,7279,3357,46.10%,2073,28.50%,61.80%,664,9.10%,19.80%,1409,19.40%,42%,1284,17.60%,38.20%,2316,31.80%,1323,18.20%
Male,Bronx,2005,7887,3797,48.10%,2608,33.10%,68.70%,735,9.30%,19.40%,1873,23.70%,49.30%,1189,15.10%,31.30%,2291,29%,1268,16.10%
Male,Bronx,2006,8074,4069,50.40%,2993,37.10%,73.60%,785,9.70%,19.30%,2208,27.30%,54.30%,1076,13.30%,26.40%,2141,26.50%,1332,16.50%
Male,Bronx,Aug-06,8074,4423,54.80%,3130,38.80%,70.80%,791,9.80%,17.90%,2339,29%,52.90%,1293,16%,29.20%,1796,22.20%,1323,16.40%
Male,Brooklyn,2001,10112,4220,41.70%,2722,26.90%,64.50%,1261,12.50%,29.90%,1461,14.40%,34.60%,1505,14.90%,35.70%,3445,34.10%,2101,20.80%
Male,Brooklyn,2002,10555,4614,43.70%,3189,30.20%,69.10%,1331,12.60%,28.80%,1858,17.60%,40.30%,1431,13.60%,31%,3541,33.50%,1981,18.80%
Male,Brooklyn,2003,10853,4917,45.30%,3409,31.40%,69.30%,1412,13%,28.70%,1997,18.40%,40.60%,1508,13.90%,30.70%,3763,34.70%,1881,17.30%
Male,Brooklyn,2004,11435,5493,48%,3967,34.70%,72.20%,1697,14.80%,30.90%,2270,19.90%,41.30%,1526,13.30%,27.80%,3756,32.80%,1796,15.70%
Male,Brooklyn,2005,11389,5736,50.40%,4339,38.10%,75.60%,1679,14.70%,29.30%,2660,23.40%,46.40%,1397,12.30%,24.40%,3641,32%,1546,13.60%
Male,Brooklyn,2006,11387,6006,52.70%,4822,42.30%,80.30%,1669,14.70%,27.80%,3153,27.70%,52.50%,1184,10.40%,19.70%,3317,29.10%,1568,13.80%
Male,Brooklyn,Aug-06,11387,6559,57.60%,5120,45%,78.10%,1699,14.90%,25.90%,3421,30%,52.20%,1439,12.60%,21.90%,2771,24.30%,1561,13.70%
Male,Manhattan,2001,5950,3046,51.20%,1968,33.10%,64.60%,811,13.60%,26.60%,1157,19.40%,38%,1079,18.10%,35.40%,1543,25.90%,1131,19%
Male,Manhattan,2002,6186,3094,50%,2232,36.10%,72.10%,882,14.30%,28.50%,1350,21.80%,43.60%,865,14%,28%,1916,31%,937,15.10%
Male,Manhattan,2003,6414,2994,46.70%,2181,34%,72.80%,1020,15.90%,34.10%,1161,18.10%,38.80%,813,12.70%,27.20%,2282,35.60%,968,15.10%
Male,Manhattan,2004,7057,3602,51%,2706,38.30%,75.10%,1210,17.10%,33.60%,1496,21.20%,41.50%,896,12.70%,24.90%,2242,31.80%,1039,14.70%
Male,Manhattan,2005,7277,4032,55.40%,3098,42.60%,76.80%,1127,15.50%,28%,1971,27.10%,48.90%,933,12.80%,23.10%,2055,28.20%,875,12%
Male,Manhattan,2006,7509,4197,55.90%,3510,46.70%,83.60%,1188,15.80%,28.30%,2322,30.90%,55.30%,687,9.10%,16.40%,2011,26.80%,931,12.40%
Male,Manhattan,Aug-06,7509,4468,59.50%,3665,48.80%,82%,1195,15.90%,26.70%,2470,32.90%,55.30%,803,10.70%,18%,1745,23.20%,927,12.30%
Male,Queens,2001,8684,4091,47.10%,2852,32.80%,69.70%,1128,13%,27.60%,1724,19.90%,42.10%,1242,14.30%,30.40%,2688,31%,1632,18.80%
Male,Queens,2002,9286,4358,46.90%,3218,34.70%,73.80%,1142,12.30%,26.20%,2076,22.40%,47.60%,1140,12.30%,26.20%,2870,30.90%,1692,18.20%
Male,Queens,2003,9423,4676,49.60%,3567,37.90%,76.30%,1518,16.10%,32.50%,2049,21.70%,43.80%,1109,11.80%,23.70%,2862,30.40%,1667,17.70%
Male,Queens,2004,9698,5039,52%,3885,40.10%,77.10%,1645,17%,32.60%,2240,23.10%,44.50%,1154,11.90%,22.90%,2948,30.40%,1516,15.60%
Male,Queens,2005,10259,5525,53.90%,4353,42.40%,78.80%,1618,15.80%,29.30%,2735,26.70%,49.50%,1172,11.40%,21.20%,2753,26.80%,1486,14.50%
Male,Queens,2006,10202,5887,57.70%,4874,47.80%,82.80%,1572,15.40%,26.70%,3302,32.40%,56.10%,1013,9.90%,17.20%,2554,25%,1378,13.50%
Male,Queens,Aug-06,10202,6422,62.90%,5164,50.60%,80.40%,1597,15.70%,24.90%,3567,35%,55.50%,1258,12.30%,19.60%,2020,19.80%,1377,13.50%
Male,Staten Island,2001,2067,1258,60.90%,937,45.30%,74.50%,423,20.50%,33.60%,514,24.90%,40.90%,321,15.50%,25.50%,482,23.30%,268,13%
Male,Staten Island,2002,2111,1295,61.30%,948,44.90%,73.20%,400,18.90%,30.90%,548,26%,42.30%,348,16.50%,26.90%,503,23.80%,240,11.40%
Male,Staten Island,2003,2103,1297,61.70%,1005,47.80%,77.50%,404,19.20%,31.10%,601,28.60%,46.30%,292,13.90%,22.50%,530,25.20%,212,10.10%
Male,Staten Island,2004,2092,1310,62.60%,1035,49.50%,79%,461,22%,35.20%,574,27.40%,43.80%,275,13.10%,21%,481,23%,225,10.80%
Male,Staten Island,2005,2244,1465,65.30%,1164,51.90%,79.50%,490,21.80%,33.40%,674,30%,46%,301,13.40%,20.50%,447,19.90%,204,9.10%
Male,Staten Island,2006,2413,1681,69.70%,1429,59.20%,85%,573,23.70%,34.10%,856,35.50%,50.90%,252,10.40%,15%,394,16.30%,235,9.70%
Male,Staten Island,Aug-06,2413,1725,71.50%,1458,60.40%,84.50%,573,23.70%,33.20%,885,36.70%,51.30%,267,11.10%,15.50%,350,14.50%,235,9.70%
